Make,MSG SKU,OEM,Part number,Car,Cables and fittings,Protocol
MERCEDES,EVAC0030,"A0032305111
 A0008302800",SHS-33H4155,"smart fortwo
 B250e (W246, W242)","MS-31005 (5H)
 MS-30005 (5D)
 MS41016-HP
 MS41015-LP",LIN
MERCEDES,"EVAC0047
 
 COMING
 SOON",A0008302001,SHS-33L4182,"Mercedes S-Class
 Hybrid 200V","MS-31005 (5H)
MS-30005 (5D)
MS41016-HP
MS41015-LP",LIN
MERCEDES,"EVAC0049
 COMING
 SOON","A0008300301
 A0008305600","SHS-33H4186
 SHS-33H4188","ML/GLE 500 4MATIC HYBRID/E
 W205 C350e 2014, 2015, 2016, 2017, 2018, 2019",,LIN
,,,,,,LIN
MERCEDES,"EVAC0036
 


 48V (!)",A0008302601,SHS-33L3141,"Mercedes CLS W257 AMG E53 S450 S500
Mercedes W222 W213 W167


 AN EXTERNAL POWER SOURCE IS REQUIRED!","HV: external
MS-30005 (5D)
MS41016-HP
MS41015-LP",LIN
VOLVO,EVAC0035,"31315123
36002047
36011308
31477991",SHS-33H4166,"VOLVO V60 [2012, 2013, 2014, 2015]
 
 V60 D5 2.4D HYBRID ([2015, 2016, 2017, 2018]) / V60 D6 2.4D HYBRID ([2012, 2013, 2014, 2015]) / V60 CROSS COUNTRY 2.4D HYBRID ([2015, 2016, 2017, 2018])","MS-31005 (5H)
MS-30005 (5D)
MS41030-HP
MS41027-LP",CAN
VOLVO,EVAC0034,"P32260523
32260523
31455426
32333863
32260532
36013037
36011584
36012838
32241464
36012932
P31455426
36013370
",,"VOLVO XC90 II Hybrid 2015, 2016, 2017, 2018","MS-31005 (5H)
MS-30005 (5D)
MS41030-HP
MS41027-LP",LIN
LAND ROVER,EVAC0037,"JPLA19D662AC
JPLA19D662AD
JPLA-19D662-AC
JPLA-19D662-AD
LR101272
",SHS-33H4205 ,RANGE ROVER SPORT (L494) 2.0 P400e PHEV 4x4 (300 hp),"MS-31005 (5H)
MS-30005 (5D)
MS41016-HP
MS41015-LP",LIN
JAGUAR,EVAC0090,"J9D3-19D662
J9D3-19D662-AB",,"JAGUAR I-PACE [2018, 2019, 2020, 2021, 2022, 2023]","MS-31005 (5H)
MS-30005 (5D)
MS41016-HP
MS41015-LP",LIN
GM,EVAC0038,"19353337
22799205
22878686",AKJ200A101B,"CHEVROLET Volt 2011, 2012, 2013, 2014, 2015
OPEL AMPERA
CADILLAC ELR 2014, 2015","MS-31011 (11H)
MS-30014 (14D)
MS41016-HP
MS41015-LP
OIL:MA68EV",CAN
GM,EVAC0054,"84574610
84339749
84447683
23422307
84574608",,"CHEVROLET Volt 202016, 2017, 2018, 2019","MS-31012 (12H)
MS-30014 (14D)
MS41016-HP
MS41015-LP
OIL:MA68EV",CAN
GM,EVAC0076,"42733158
42664213
42502598
",,"CHEVROLET BOLT [2017, 2018, 2019, 2020]","MS-31012 (11H)
MS-30014 (14D)
MS41016-HP
MS41015-LP
",CAN
FORD,EVAC0019,"CV68-19D623
CV68-19D623-AC
CV68-19D623-AD
CV68-19D623-BC
CV68-19D623-CA","042200-0552
 042200-0562
 042200-0571
 042200-0572
 042200-0660
 042200-0663
 042200-0871","FORD FOCUS ELECTRIC [2012, 2013, 2014, 2015, 2016, 2017, 2018]","MS-31014 (14H)
 MS-30006 (6D)
 MS41023-HP
 MS41024-LP
  
 Tools:
 MS40006",CAN
FORD,EVAC0039,"FV6H-19D623-AC 
DG9H-19D623-AD
DG9H-19D623-AE","042200-0562
 042200-0552
 042200-0554","Ford C-max MK2 2013, 2014, 2015, 2016, 2017, 2018
 Ford Fusion, Mondeo; Lincoln 2012, 2013, 2014, 2015, 2016","MS-31015 (15H)
 MS-30006 (6D)
 MS41023-HP
 MS41024-LP
 
 Tools:
 TS30H (for connector)
 MS40006 (for inverter)",CAN
FIAT,EVAC0086,,"68106049AE
68106049AF
68106049AG","FIAT 500E Electric EV 2013, 2014, 2015, 2016, 2017","MS-31011 (11H)
MS-30014 (14D)
MS41016-HP
MS41015-LP
",CAN
PSA,EVAC0058,"9831370080 
9831498480
9831825180
9840203080
9840056680",,"DO DS3
OPEL CORSA F
PEUGEOT 2008","MS-31016 (16H)
MS-30015 (15D)
MS41018-HP
MS41049-LP",LIN
